0, province
1,An Giang
2,Bà Rịa - Vũng Tàu
3,Bạc Liêu
4,Bắc Kạn
5,Bắc Giang
6,Bắc Ninh
7,Bến Tre
8,Bình Dương
9,Bình Định
10,Bình Phước
11,Bình Thuận
12,Cà Mau
13,Cao Bằng
14,Ninh Kiều
15,Hải Châu
16,Đắk Lắk
17,Đắk Nông
18,Đồng Nai
19,Đồng Tháp
20,Điện Biên
21,Gia Lai
22,Hà Giang
23,Hà Nam
24,Hà Nội
25,Hà Tĩnh
26,Hải Dương
27,Hồng Bàng
28,Hòa Bình
29,Hậu Giang
30,Hưng Yên
31,Sài Gòn
32,Hồ Chí Minh
33,Khánh Hòa
34,Kiên Giang
35,Kon Tum
36,Lai Châu
37,Lào Cai
38,Lạng Sơn
39,Lâm Đồng
40,Long An
41,Nam Định
42,Nghệ An
43,Ninh Bình
44,Ninh Thuận
45,Phú Thọ
46,Phú Yên
47,Quảng Bình
48,Quảng Nam
49,Quảng Ngãi
50,Quảng Ninh
51,Quảng Trị
52,Sóc Trăng
53,Sơn La
54,Tây Ninh
55,Thái Bình
56,Thái Nguyên
57,Thanh Hóa
58,Thừa Thiên - Huế
59,Tiền Giang
60,Trà Vinh
61,Tuyên Quang
62,Vĩnh Long
63,Vĩnh Phúc
64,Yên Bái
